Group,Subject,Rew,Block,Phase,Opt
-1,1,-1,0,1,0.17
-1,1,-1,1,1,0.25
-1,1,-1,2,1,0.5
-1,1,-1,3,1,0.5
-1,1,-1,4,1,0.29
-1,1,-1,5,1,0.75
-1,1,-1,6,1,0.5
-1,1,-1,7,1,0.4
-1,1,-1,8,1,0.5
-1,1,-1,9,1,0.75
-1,1,-1,10,1,0.57
-1,1,-1,11,1,0.33
-1,1,-1,0,-1,0.6
-1,1,-1,1,-1,0
-1,1,-1,2,-1,0.5
-1,1,-1,3,-1,0.5
-1,1,-1,4,-1,0
-1,1,-1,5,-1,0.43
-1,1,-1,6,-1,0.4
-1,1,-1,7,-1,0.75
-1,1,-1,8,-1,0.5
-1,1,-1,9,-1,0
-1,1,-1,10,-1,0.4
-1,1,-1,11,-1,0.5
-1,1,1,0,1,0.25
-1,1,1,1,1,0.5
-1,1,1,2,1,0.33
-1,1,1,3,1,0.5
-1,1,1,4,1,0.33
-1,1,1,5,1,0.67
-1,1,1,6,1,0.83
-1,1,1,7,1,0.8
-1,1,1,8,1,0.75
-1,1,1,9,1,1
-1,1,1,10,1,0.67
-1,1,1,11,1,1
-1,1,1,0,-1,1
-1,1,1,1,-1,0
-1,1,1,2,-1,0.5
-1,1,1,3,-1,0.25
-1,1,1,4,-1,0
-1,1,1,5,-1,0
-1,1,1,6,-1,0.4
-1,1,1,7,-1,0.17
-1,1,1,8,-1,0.25
-1,1,1,9,-1,0.29
-1,1,1,10,-1,0.4
-1,1,1,11,-1,0.25
-1,2,-1,0,1,0.4
-1,2,-1,1,1,0.8
-1,2,-1,2,1,0.8
-1,2,-1,3,1,0.6
-1,2,-1,4,1,1
-1,2,-1,5,1,1
-1,2,-1,6,1,0.5
-1,2,-1,7,1,0.57
-1,2,-1,8,1,0.67
-1,2,-1,9,1,1
-1,2,-1,10,1,0.83
-1,2,-1,11,1,1
-1,2,-1,0,-1,1
-1,2,-1,1,-1,0.25
-1,2,-1,2,-1,1
-1,2,-1,3,-1,0.75
-1,2,-1,4,-1,0.5
-1,2,-1,5,-1,0.75
-1,2,-1,6,-1,0.67
-1,2,-1,7,-1,0.75
-1,2,-1,8,-1,1
-1,2,-1,9,-1,0.86
-1,2,-1,10,-1,0.8
-1,2,-1,11,-1,1
-1,2,1,0,1,0.8
-1,2,1,1,1,1
-1,2,1,2,1,1
-1,2,1,3,1,1
-1,2,1,4,1,1
-1,2,1,5,1,1
-1,2,1,6,1,1
-1,2,1,7,1,1
-1,2,1,8,1,1
-1,2,1,9,1,1
-1,2,1,10,1,1
-1,2,1,11,1,1
-1,2,1,0,-1,0.6
-1,2,1,1,-1,0.83
-1,2,1,2,-1,0.14
-1,2,1,3,-1,1
-1,2,1,4,-1,0.75
-1,2,1,5,-1,0.33
-1,2,1,6,-1,0.5
-1,2,1,7,-1,0.5
-1,2,1,8,-1,1
-1,2,1,9,-1,1
-1,2,1,10,-1,1
-1,2,1,11,-1,1
-1,4,-1,0,1,0.6
-1,4,-1,1,1,0.33
-1,4,-1,2,1,0.4
-1,4,-1,3,1,0.5
-1,4,-1,4,1,0.4
-1,4,-1,5,1,0.63
-1,4,-1,6,1,0.33
-1,4,-1,7,1,0.75
-1,4,-1,8,1,0.5
-1,4,-1,9,1,1
-1,4,-1,10,1,0.67
-1,4,-1,11,1,0.8
-1,4,-1,0,-1,0.75
-1,4,-1,1,-1,0.4
-1,4,-1,2,-1,0.6
-1,4,-1,3,-1,0.5
-1,4,-1,4,-1,0.75
-1,4,-1,5,-1,1
-1,4,-1,6,-1,1
-1,4,-1,7,-1,0.63
-1,4,-1,8,-1,0.67
-1,4,-1,9,-1,0.6
-1,4,-1,10,-1,0.86
-1,4,-1,11,-1,0.6
-1,4,1,0,1,0.8
-1,4,1,1,1,0.75
-1,4,1,2,1,0.6
-1,4,1,3,1,0.67
-1,4,1,4,1,0.4
-1,4,1,5,1,1
-1,4,1,6,1,0.43
-1,4,1,7,1,0.83
-1,4,1,8,1,1
-1,4,1,9,1,1
-1,4,1,10,1,1
-1,4,1,11,1,1
-1,4,1,0,-1,0.83
-1,4,1,1,-1,0
-1,4,1,2,-1,0.4
-1,4,1,3,-1,0.5
-1,4,1,4,-1,0.33
-1,4,1,5,-1,0.5
-1,4,1,6,-1,0.63
-1,4,1,7,-1,0.5
-1,4,1,8,-1,0.43
-1,4,1,9,-1,0.8
-1,4,1,10,-1,0.67
-1,4,1,11,-1,0.2
-1,7,-1,0,1,0.67
-1,7,-1,1,1,0.5
-1,7,-1,2,1,1
-1,7,-1,3,1,0.75
-1,7,-1,4,1,0.43
-1,7,-1,5,1,0.67
-1,7,-1,6,1,0.25
-1,7,-1,7,1,1
-1,7,-1,8,1,0.67
-1,7,-1,9,1,1
-1,7,-1,10,1,0.33
-1,7,-1,11,1,0.5
-1,7,-1,0,-1,0.33
-1,7,-1,1,-1,0.5
-1,7,-1,2,-1,0.33
-1,7,-1,3,-1,0.67
-1,7,-1,4,-1,0.33
-1,7,-1,5,-1,0.86
-1,7,-1,6,-1,0.75
-1,7,-1,7,-1,0.83
-1,7,-1,8,-1,0.8
-1,7,-1,9,-1,0.5
-1,7,-1,10,-1,0.83
-1,7,-1,11,-1,1
-1,7,1,0,1,0.5
-1,7,1,1,1,1
-1,7,1,2,1,1
-1,7,1,3,1,0.5
-1,7,1,4,1,1
-1,7,1,5,1,1
-1,7,1,6,1,1
-1,7,1,7,1,1
-1,7,1,8,1,1
-1,7,1,9,1,0.8
-1,7,1,10,1,1
-1,7,1,11,1,1
-1,7,1,0,-1,0.71
-1,7,1,1,-1,0.5
-1,7,1,2,-1,0.25
-1,7,1,3,-1,0.57
-1,7,1,4,-1,0.57
-1,7,1,5,-1,0.67
-1,7,1,6,-1,0.5
-1,7,1,7,-1,0.25
-1,7,1,8,-1,0.4
-1,7,1,9,-1,0.5
-1,7,1,10,-1,0.75
-1,7,1,11,-1,0.4
-1,9,-1,0,1,0.8
-1,9,-1,1,1,1
-1,9,-1,2,1,1
-1,9,-1,3,1,0.8
-1,9,-1,4,1,1
-1,9,-1,5,1,1
-1,9,-1,6,1,1
-1,9,-1,7,1,1
-1,9,-1,8,1,1
-1,9,-1,9,1,1
-1,9,-1,10,1,1
-1,9,-1,11,1,1
-1,9,-1,0,-1,0.4
-1,9,-1,1,-1,0.75
-1,9,-1,2,-1,0.57
-1,9,-1,3,-1,1
-1,9,-1,4,-1,1
-1,9,-1,5,-1,1
-1,9,-1,6,-1,0.86
-1,9,-1,7,-1,1
-1,9,-1,8,-1,1
-1,9,-1,9,-1,1
-1,9,-1,10,-1,1
-1,9,-1,11,-1,0.75
-1,9,1,0,1,0.4
-1,9,1,1,1,0.6
-1,9,1,2,1,0.4
-1,9,1,3,1,0.8
-1,9,1,4,1,1
-1,9,1,5,1,1
-1,9,1,6,1,1
-1,9,1,7,1,1
-1,9,1,8,1,1
-1,9,1,9,1,1
-1,9,1,10,1,1
-1,9,1,11,1,1
-1,9,1,0,-1,1
-1,9,1,1,-1,0.67
-1,9,1,2,-1,0.67
-1,9,1,3,-1,1
-1,9,1,4,-1,1
-1,9,1,5,-1,1
-1,9,1,6,-1,1
-1,9,1,7,-1,1
-1,9,1,8,-1,1
-1,9,1,9,-1,1
-1,9,1,10,-1,1
-1,9,1,11,-1,1
-1,13,-1,0,1,0.25
-1,13,-1,1,1,0.5
